Name;Beschreibung;Einheit;Kategorie;VK netto;EK netto;USt-Satz %;Import-Namen
Auswertung Vorbefunde, Anamnese, Therapieplanung (GOÄ 34);Umfassende Auswertung der Vorbefunde, Anamnese, Therapieplanung und Aufklärung;Stück;GOÄ-Leistung;220,00;;0;
HHH — Hypertherme, hyperoxygenierte Hämoperfusion;Inkl. ärztlicher Durchführung, Überwachung und Gerätetechnik (§ 2 GOÄ);Stück;GOÄ-Leistung;6700,00;;0;Hämoperfusion
Kombinations-Apherese (Plasmafilter + Adsorber);Inkl. ärztlicher Durchführung, Überwachung und Gerätetechnik (§ 2 GOÄ);Stück;GOÄ-Leistung;6800,00;;0;"Kombipherese;Apherese"
Infusionstherapie je Behandlungstag;Anti-inflammatorisch / regenerativ (GOÄ 272);Stück;GOÄ-Leistung;250,00;;0;Infusionstherapie
Ozon-Eigenbluttherapie, groß;Aderlass mit Reinfusion (entspr. GOÄ 285/286A);Stück;GOÄ-Leistung;350,00;;0;"Ozon-Eigenblut;Ozon Eigenblut"
EECP (Enhanced External Counterpulsation);§ 2 GOÄ;Stück;GOÄ-Leistung;100,00;;0;EECP
Wasserstoff-Inhalationstherapie;§ 2 GOÄ;Stück;GOÄ-Leistung;50,00;;0;"Wasserstoff-Inhalation;H2-Inhalation"
mGKHT — moderate Ganzkörperhyperthermie;Entspr. GOÄ 532;Stück;GOÄ-Leistung;80,00;;0;mGKHT
Abschlussuntersuchung mit Arztbrief;Abschlussuntersuchung, Erstellung des Arztbriefes (GOÄ 75/85);Stück;GOÄ-Leistung;150,00;;0;Abschlussuntersuchung
NaCl 0,9 % 500 ml;;Stück;Auslage § 10;6,50;6,50;0;"500 ml NaCl;500ml NaCl;NaCl 500 ml"
NaCl 0,9 % 250 ml;;Stück;Auslage § 10;5,00;5,00;0;"250 ml NaCl;250ml NaCl;250 ml NaCl 0.9%;250ml NaCl 0.9%"
NaCl 0,9 % 100 ml;;Stück;Auslage § 10;5,00;5,00;0;"100 ml NaCl;100ml NaCl"
Natriumbicarbonat 100 ml;;Stück;Auslage § 10;5,41;5,41;0;"100 ml NaBic;100ml NaBic;NaBic"
Artesunat 250 mg;;Stück;Auslage § 10;55,00;55,00;0;Artesunat
Ringer-Lösung 250 ml;;Stück;Auslage § 10;5,00;5,00;0;"250 ml Ringer;Ringer 250 ml"
Ringer-Laktat 250 ml;;Stück;Auslage § 10;5,00;5,00;0;"250 ml Ringer-Laktat;Ringer-Laktat"
Ringer-Lösung 500 ml;;Stück;Auslage § 10;6,50;6,50;0;"500 ml Ringer;500ml Ringer"
Vitamin C 7,5 g (Pascorbin);;Stück;Auslage § 10;8,98;8,98;0;"Vitamin C 7,5 g;Vitamin C 7.5 g;Vitamin C"
Magnesium 4 mmol;;Stück;Auslage § 10;2,70;2,70;0;"Magnesium;Magnesium 4mmol"
Hepa-Merz 1 Amp.;;Stück;Auslage § 10;20,18;20,18;0;"Hepa Merz 1 Amp.;Hepa Merz;Hepa-Merz"
Cernevit 1 Amp.;;Stück;Auslage § 10;30,81;30,81;0;Cernevit
Ceftriaxon 2 g;;Stück;Auslage § 10;15,28;15,28;0;Ceftriaxon
Alpha-Liponsäure 600 mg;;Stück;Auslage § 10;8,99;8,99;0;"Alphaliponsäure 600 mg;Alpha-Liponsäure 600mg"
Alpha-Lipon 50 ml;;Stück;Auslage § 10;11,00;11,00;0;Alpha-Lipon 50ml
Alpha-Lipon 1 Amp.;;Stück;Auslage § 10;11,00;11,00;0;Alpha-Lipon 1 Amp
Glucose 5 % 250 ml;;Stück;Auslage § 10;5,00;5,00;0;"250 ml G5;250ml G5;G5 250 ml"
Glucose 5 % 500 ml;;Stück;Auslage § 10;7,00;7,00;0;"500 ml G5;500ml G5%;500 ml G5%;G5 500 ml"
Vitalipid 1 Amp.;;Stück;Auslage § 10;12,77;12,77;0;"Vitalipid;Vitalipid 1 Amp"
MediVitan 1 Amp.;;Stück;Auslage § 10;7,50;7,50;0;"MediVitan;MediVitan 1 Amp;Redivitan 1 Amp.;Redivitan"
Neuro-Amino ½ Amp.;;Stück;Auslage § 10;24,50;24,50;0;"Neuro-Amino ½ Amp;Neuro-Amino 1/2 Amp."
L-Lysin ½ Amp.;;Stück;Auslage § 10;3,50;3,50;0;"L-Lysin ½ Amp;L-Lysin 1/2 Amp."
Selen 900 µg 1 Amp.;;Stück;Auslage § 10;13,90;13,90;0;"Selen 1 Amp.;Selen 900ug;Selen 900 µg;Selen"
Doxycyclin 100 mg;;Stück;Auslage § 10;5,37;5,37;0;Doxycyclin
Methylenblau 50 mg/10 ml;;Stück;Auslage § 10;67,57;67,57;0;"Methylenblau;Methylenblau Amp.;Methylenblau 1 Amp."
DMSO 1 Amp.;;Stück;Auslage § 10;19,90;19,90;0;DMSO
Curcumin 150 mg;;Stück;Auslage § 10;99,00;99,00;0;"150mg Curcumin;Curcumin;Curcumin 150mg"
Procain 2 %;;Stück;Auslage § 10;0,90;0,90;0;"Procain 2 % Amp.;Procain 2%;Procain 1%"
Clindamycin 600 mg;;Stück;Auslage § 10;7,92;7,92;0;Clindamycin
Adsorber Jafron HA380;;Stück;Auslage § 10;773,50;773,50;0;"Jafron HA380;Adsorber"
